day,Num,YoY
2020/1/22,17,
2020/1/23,18,5.882352941
2020/1/24,26,44.44444444
2020/1/25,42,61.53846154
2020/1/26,56,33.33333333
2020/1/27,82,46.42857143
2020/1/28,131,59.75609756
2020/1/29,133,1.526717557
2020/1/30,171,28.57142857
2020/1/31,213,24.56140351
2020/2/1,259,21.59624413
2020/2/2,362,39.76833977
2020/2/3,426,17.67955801
2020/2/4,492,15.49295775
2020/2/5,564,14.63414634
2020/2/6,634,12.41134752
2020/2/7,719,13.40694006
2020/2/8,806,12.10013908
2020/2/9,906,12.40694789
2020/2/10,1013,11.81015453
2020/2/11,1113,9.871668312
2020/2/12,1118,0.449236298
2020/2/13,1371,22.62969589
2020/2/14,1523,11.08679796
2020/2/15,1666,9.389363099
2020/2/16,1770,6.242496999
2020/2/17,1868,5.536723164
2020/2/18,2007,7.44111349
2020/2/19,2122,5.729945192
2020/2/20,2247,5.89066918
2020/2/21,2251,0.178015131
2020/2/22,2458,9.195912928
2020/2/23,2469,0.447518308
2020/2/24,2629,6.48035642
2020/2/25,2708,3.004944846
2020/2/26,2770,2.289512555
2020/2/27,2814,1.588447653
2020/2/28,2872,2.061122957
2020/2/29,2941,2.402506964
2020/3/1,2996,1.870112207
2020/3/2,3085,2.970627503
2020/3/3,3160,2.431118314
2020/3/4,3254,2.974683544
2020/3/5,3348,2.888752305
2020/3/6,3460,3.345280765
2020/3/7,3558,2.832369942
2020/3/8,3802,6.857785273
2020/3/9,3988,4.89216202
2020/3/10,4262,6.870611836
2020/3/11,4615,8.282496481
2020/3/12,4720,2.275189599
2020/3/13,5404,14.49152542
2020/3/14,5819,7.679496669
2020/3/15,6440,10.67193676
2020/3/16,7126,10.65217391
2020/3/17,7905,10.93179905
2020/3/18,8733,10.4743833
2020/3/19,9867,12.98522844
2020/3/20,11299,14.51302321
2020/3/21,12973,14.8154704
2020/3/22,14632,12.78809836
2020/3/23,14643,0.075177693
