day,Num,YoY
2020/1/22,555,
2020/1/23,653,17.65765766
2020/1/24,941,44.10413476
2020/1/25,1434,52.39107333
2020/1/26,2118,47.69874477
2020/1/27,2927,38.19641171
2020/1/28,5578,90.57055005
2020/1/29,6166,10.54141269
2020/1/30,8234,33.53876095
2020/1/31,9927,20.56108817
2020/2/1,12038,21.26523622
2020/2/2,16787,39.45007476
2020/2/3,19881,18.43092869
2020/2/4,23892,20.1750415
2020/2/5,27635,15.66633183
2020/2/6,30817,11.51438393
2020/2/7,34391,11.59749489
2020/2/8,37120,7.935215609
2020/2/9,40150,8.162715517
2020/2/10,42762,6.505603985
2020/2/11,44802,4.770590711
2020/2/12,45221,0.935226106
2020/2/13,60368,33.49549988
2020/2/14,66885,10.79545455
2020/2/15,69030,3.206997085
2020/2/16,71224,3.178328263
2020/2/17,73258,2.855778951
2020/2/18,75136,2.563542548
2020/2/19,75639,0.669452726
2020/2/20,76197,0.737714671
2020/2/21,76823,0.821554654
2020/2/22,78579,2.285773792
2020/2/23,78965,0.491225391
2020/2/24,79568,0.763629456
2020/2/25,80413,1.061984717
2020/2/26,81395,1.221195578
2020/2/27,82754,1.669635727
2020/2/28,84120,1.650675496
2020/2/29,86011,2.247979078
2020/3/1,88369,2.741509807
2020/3/2,90306,2.191945139
2020/3/3,92840,2.806015104
2020/3/4,95120,2.455838001
2020/3/5,97882,2.903700589
2020/3/6,101784,3.986432643
2020/3/7,105821,3.966242238
2020/3/8,109795,3.755398267
2020/3/9,113561,3.43002869
2020/3/10,118592,4.430218121
2020/3/11,125865,6.132791419
2020/3/12,128343,1.96877607
2020/3/13,145193,13.1288812
2020/3/14,156094,7.50793771
2020/3/15,167446,7.272540905
2020/3/16,181527,8.409278215
2020/3/17,197142,8.602026145
2020/3/18,214910,9.012792809
2020/3/19,242708,12.93471686
2020/3/20,272166,12.13721839
2020/3/21,304524,11.8890677
2020/3/22,335955,10.32135398
2020/3/23,336004,0.014585287
