CountryOrRegion,Cases,Cases100K,Deaths,CaseFatality,Deaths/100K,Recovered
United States,1467820,449,88754,6.00%,27.13,427.0
Russia,272043,189,2537,0.90%,1.76,170.0
United Kingdom,241461,363,34546,14.30%,51.96,808.0
Brazil,233511,112,15662,6.70%,7.48,15.0
Spain,230698,494,27563,11.90%,58.99,14368.0
Italy,224760,372,31763,14.10%,52.56,50954.0
France,179630,268,27532,15.30%,41.1,4760.0
Germany,175752,212,7938,4.50%,9.57,1828.0
Turkey,148067,180,4096,2.80%,4.98,0.0
Iran,118392,145,6937,5.90%,8.48,79929.0
India,90648,7,2871,3.20%,0.21,255.0
Peru,88541,277,2523,2.80%,7.89,7.0
China,84044,6,4638,5.50%,0.33,1787212.0
Canada,77206,208,5800,7.50%,15.65,228.0
Belgium,54989,481,9005,16.40%,78.84,882.0
Saudi Arabia,52016,155,302,0.60%,0.9,82.0
Mexico,47144,37,5045,10.70%,4.0,63.0
Netherlands,44070,256,5689,12.90%,33.02,20.0
Chile,41428,221,421,1.00%,2.25,28.0
Pakistan,38799,18,834,2.10%,0.39,68.0
Ecuador,32763,192,2688,8.20%,15.73,9.0
Qatar,30972,1115,15,0.00%,0.54,127.0
Switzerland,30572,359,1879,6.10%,22.06,373.0
Sweden,29677,291,3674,12.40%,36.08,90.0
Portugal,28810,280,1203,4.20%,11.7,37.0
Belarus,28681,303,160,0.60%,1.69,85.0
Singapore,27356,485,22,0.10%,0.39,2982.0
Ireland,24048,496,1533,6.40%,31.59,35.0
United Arab Emirates,22627,235,214,0.90%,2.22,466.0
Bangladesh,20995,13,314,1.50%,0.19,23.0
Poland,18257,48,915,5.00%,2.41,44.0
Ukraine,17858,40,497,2.80%,1.11,3.0
Indonesia,17025,6,1089,6.40%,0.41,150.0
Romania,16704,86,1094,6.50%,5.62,326.0
Israel,16608,187,268,1.60%,3.02,201.0
Japan,16237,13,725,4.50%,0.57,2981.0
Austria,16201,183,629,3.90%,7.11,93.0
Colombia,14939,30,562,3.80%,1.13,11.0
South Africa,14355,25,261,1.80%,0.45,0.0
Kuwait,13802,334,107,0.80%,2.59,175.0
Philippines,12305,12,817,6.60%,0.77,114.0
Dominican Republic,12110,114,428,3.50%,4.03,0.0
Egypt,11719,12,612,5.20%,0.62,456.0
Denmark,11056,191,543,4.90%,9.37,18.0
"Korea, South",11050,22,262,2.40%,0.51,17881.0
Serbia,10496,151,228,2.20%,3.27,8.0
Panama,9449,226,269,2.80%,6.44,0.0
Czechia,8455,80,296,3.50%,2.79,34.0
Norway,8237,155,232,2.80%,4.37,15.0
Argentina,7805,18,363,4.70%,0.82,24.0
Australia,7044,28,98,1.40%,0.39,803.0
Malaysia,6872,22,113,1.60%,0.36,1312.0
Algeria,6821,16,542,7.90%,1.28,302.0
Bahrain,6747,427,12,0.20%,0.76,1135.0
Morocco,6741,19,192,2.80%,0.53,17.0
Afghanistan,6402,17,168,2.60%,0.45,8.0
Finland,6286,114,297,4.70%,5.38,122.0
Moldova,5934,167,207,3.50%,5.84,7.0
Kazakhstan,5850,33,34,0.60%,0.19,0.0
Ghana,5735,20,29,0.50%,0.1,0.0
Nigeria,5621,3,176,3.10%,0.09,8.0
Oman,5029,103,21,0.40%,0.43,171.0
Armenia,4283,145,55,1.30%,1.86,9.0
Luxembourg,3930,647,104,2.60%,17.11,12.0
Bolivia,3826,34,165,4.30%,1.45,0.0
Hungary,3473,36,448,12.90%,4.59,50.0
Iraq,3260,8,121,3.70%,0.31,470.0
