Country/Region,Num
Afghanistan,8.0
Albania,6.0
Algeria,302.0
Andorra,11.0
Angola,0.0
Antigua and Barbuda,0.0
Argentina,24.0
Armenia,9.0
Australia,803.0
Austria,93.0
Azerbaijan,79.0
"Bahamas, The",0.0
Bahrain,1135.0
Bangladesh,23.0
Barbados,0.0
Belarus,85.0
Belgium,882.0
Benin,0.0
Bhutan,0.0
Bolivia,0.0
Bosnia and Herzegovina,14.0
Brazil,15.0
Brunei,7.0
Bulgaria,9.0
Burkina Faso,15.0
Cabo Verde,0.0
Cambodia,41.0
Cameroon,0.0
Canada,228.0
Cape Verde,0.0
Central African Republic,0.0
Chad,0.0
Chile,28.0
China,1787212.0
Colombia,11.0
Congo (Brazzaville),0.0
Congo (Kinshasa),0.0
Costa Rica,6.0
Cote d'Ivoire,7.0
Croatia,38.0
Cruise Ship,4519.0
Cuba,0.0
Cyprus,6.0
Czechia,34.0
Denmark,18.0
Djibouti,0.0
Dominica,0.0
Dominican Republic,0.0
East Timor,0.0
Ecuador,9.0
Egypt,456.0
El Salvador,0.0
Equatorial Guinea,0.0
Eritrea,0.0
Estonia,11.0
Eswatini,0.0
Ethiopia,8.0
Fiji,0.0
Finland,122.0
France,4760.0
French Guiana,6.0
Gabon,0.0
"Gambia, The",0.0
Georgia,12.0
Germany,1828.0
Ghana,0.0
Greece,124.0
Greenland,0.0
Grenada,0.0
Guadeloupe,0.0
Guam,0.0
Guatemala,0.0
Guernsey,0.0
Guinea,0.0
Guyana,0.0
Haiti,0.0
Holy See,0.0
Honduras,0.0
Hungary,50.0
Iceland,122.0
India,255.0
Indonesia,150.0
Iran,79929.0
Iraq,470.0
Ireland,35.0
Israel,201.0
Italy,50954.0
Jamaica,16.0
Japan,2981.0
Jersey,0.0
Jordan,11.0
Kazakhstan,0.0
Kenya,0.0
"Korea, South",17881.0
Kosovo,0.0
Kuwait,175.0
Kyrgyzstan,0.0
Latvia,14.0
Lebanon,47.0
Liberia,0.0
Liechtenstein,0.0
Lithuania,9.0
Luxembourg,12.0
Madagascar,0.0
Malaysia,1312.0
Maldives,0.0
Malta,19.0
Martinique,0.0
Mauritania,0.0
Mauritius,0.0
Mayotte,0.0
Mexico,63.0
Moldova,7.0
Monaco,2.0
Mongolia,0.0
Montenegro,0.0
Morocco,17.0
Mozambique,0.0
Namibia,0.0
Nepal,41.0
Netherlands,20.0
New Zealand,0.0
Nicaragua,0.0
Niger,0.0
Nigeria,8.0
North Macedonia,11.0
Norway,15.0
Oman,171.0
Pakistan,68.0
Panama,0.0
Papua New Guinea,0.0
Paraguay,0.0
Peru,7.0
Philippines,114.0
Poland,44.0
Portugal,37.0
Puerto Rico,0.0
Qatar,127.0
Republic of the Congo,0.0
Reunion,0.0
Romania,326.0
Russia,170.0
Rwanda,0.0
Saint Lucia,0.0
Saint Vincent and the Grenadines,0.0
San Marino,40.0
Saudi Arabia,82.0
Senegal,33.0
Serbia,8.0
Seychelles,0.0
Singapore,2982.0
Slovakia,14.0
Slovenia,0.0
Somalia,0.0
South Africa,0.0
Spain,14368.0
Sri Lanka,53.0
Sudan,0.0
Suriname,0.0
Sweden,90.0
Switzerland,373.0
Syria,0.0
Taiwan*,486.0
Tanzania,0.0
Thailand,1231.0
The Bahamas,0.0
The Gambia,0.0
Timor-Leste,0.0
Togo,4.0
Trinidad and Tobago,3.0
Tunisia,2.0
Turkey,0.0
US,427.0
Uganda,0.0
Ukraine,3.0
United Arab Emirates,466.0
United Kingdom,808.0
Uruguay,0.0
Uzbekistan,0.0
Venezuela,30.0
Vietnam,585.0
Zambia,0.0
Zimbabwe,0.0
