day,Num
2020/1/22,1
2020/1/23,1
2020/1/24,2
2020/1/25,2
2020/1/26,5
2020/1/27,5
2020/1/28,5
2020/1/29,6
2020/1/30,6
2020/1/31,8
2020/2/1,8
2020/2/2,8
2020/2/3,11
2020/2/4,11
2020/2/5,11
2020/2/6,12
2020/2/7,12
2020/2/8,12
2020/2/9,12
2020/2/10,12
2020/2/11,13
2020/2/12,13
2020/2/13,14
2020/2/14,14
2020/2/15,14
2020/2/16,14
2020/2/17,15
2020/2/18,16
2020/2/19,16
2020/2/20,16
2020/2/21,16
2020/2/22,16
2020/2/23,16
2020/2/24,17
2020/2/25,18
2020/2/26,19
2020/2/27,19
2020/2/28,19
2020/2/29,26
2020/3/1,39
2020/3/2,57
2020/3/3,79
2020/3/4,113
2020/3/5,184
2020/3/6,247
2020/3/7,417
2020/3/8,538
2020/3/9,630
2020/3/10,797
2020/3/11,1156
2020/3/12,1596
2020/3/13,2222
2020/3/14,2952
2020/3/15,3234
2020/3/16,4667
2020/3/17,6450
2020/3/18,9156
2020/3/19,13663
2020/3/20,20064
2020/3/21,26056
2020/3/22,34944
2020/3/23,46096
2020/3/24,56714
2020/3/25,68841
2020/3/26,86662
2020/3/27,105253
2020/3/28,127417
2020/3/29,143544
2020/3/30,165698
2020/3/31,192079
2020/4/1,227543
2020/4/2,259798
2020/4/3,292201
2020/4/4,323965
2020/4/5,353117
2020/4/6,385110
2020/4/7,415256
2020/4/8,446500
2020/4/9,481981
2020/4/10,516396
2020/4/11,545313
2020/4/12,571551
2020/4/13,598789
2020/4/14,627306
2020/4/15,653345
2020/4/16,682962
2020/4/17,716152
2020/4/18,743464
2020/4/19,768888
2020/4/20,799149
2020/4/21,825478
2020/4/22,855445
2020/4/23,887523
2020/4/24,919014
2020/4/25,949640
2020/4/26,975537
2020/4/27,1000230
2020/4/28,1024834
2020/4/29,1051643
2020/4/30,1081150
2020/5/1,1115972
2020/5/2,1142619
2020/5/3,1166189
2020/5/4,1190240
2020/5/5,1214321
2020/5/6,1238694
2020/5/7,1266904
2020/5/8,1294111
2020/5/9,1318358
2020/5/10,1337061
2020/5/11,1356283
2020/5/12,1379661
2020/5/13,1399662
2020/5/14,1425539
2020/5/15,1449938
2020/5/16,1473806
2020/5/17,1492449
2020/5/18,1514833
2020/5/19,1535591
2020/5/20,1558430
2020/5/21,1583542
2020/5/22,1607464
2020/5/23,1627392
2020/5/24,1647513
2020/5/25,1666699
2020/5/26,1685395
2020/5/27,1704200
2020/5/28,1725329
2020/5/29,1750066
2020/5/30,1772783
2020/5/31,1791547
2020/6/1,1809384
2020/6/2,1829340
2020/6/3,1848388
2020/6/4,1876099
2020/6/5,1902280
2020/6/6,1922433
2020/6/7,1940242
2020/6/8,1957154
2020/6/9,1977478
2020/6/10,1999224
2020/6/11,2021527
2020/6/12,2047082
2020/6/13,2071218
2020/6/14,2090171
2020/6/15,2111266
2020/6/16,2135894
2020/6/17,2162973
2020/6/18,2191211
2020/6/19,2222207
2020/6/20,2254073
2020/6/21,2279932
2020/6/22,2309921
2020/6/23,2348750
2020/6/24,2385029
2020/6/25,2424386
2020/6/26,2473472
2020/6/27,2514305
2020/6/28,2557223
2020/6/29,2598741
2020/6/30,2648797
2020/7/1,2698127
2020/7/2,2753211
2020/7/3,2804869
2020/7/4,2850893
2020/7/5,2904843
2020/7/6,2948475
2020/7/7,3005888
2020/7/8,3066392
2020/7/9,3126225
2020/7/10,3194747
2020/7/11,3255188
2020/7/12,3315408
2020/7/13,3375033
2020/7/14,3440790
2020/7/15,3507089
2020/7/16,3577863
2020/7/17,3644285
2020/7/18,3708610
2020/7/19,3767603
2020/7/20,3828459
2020/7/21,3896754
2020/7/22,3964204
2020/7/23,4031971
2020/7/24,4106920
2020/7/25,4170675
2020/7/26,4226306
2020/7/27,4286303
2020/7/28,4350867
2020/7/29,4414919
2020/7/30,4484123
2020/7/31,4548498
2020/8/1,4605922
2020/8/2,4652811
2020/8/3,4694707
2020/8/4,4756328
2020/8/5,4810465
2020/8/6,4870501
2020/8/7,4930942
2020/8/8,4994709
2020/8/9,5048872
2020/8/10,5100509
2020/8/11,5157385
2020/8/12,5212607
2020/8/13,5264053
2020/8/14,5334125
2020/8/15,5386450
2020/8/16,5421027
2020/8/17,5459024
2020/8/18,5503999
2020/8/19,5549914
2020/8/20,5595049
2020/8/21,5642949
2020/8/22,5688220
2020/8/23,5720123
2020/8/24,5754214
2020/8/25,5796776
2020/8/26,5838968
2020/8/27,5889405
2020/8/28,5935725
2020/8/29,5978796
2020/8/30,6012964
2020/8/31,6046490
2020/9/1,6088459
2020/9/2,6128577
2020/9/3,6173788
2020/9/4,6222447
2020/9/5,6265685
2020/9/6,6294763
2020/9/7,6319465
2020/9/8,6346568
2020/9/9,6380419
2020/9/10,6420041
2020/9/11,6464866
2020/9/12,6510481
2020/9/13,6550789
2020/9/14,6583690
2020/9/15,6621129
2020/9/16,6659478
2020/9/17,6704919
2020/9/18,6755146
2020/9/19,6800801
2020/9/20,6842406
2020/9/21,6874666
2020/9/22,6912974
2020/9/23,6954204
2020/9/24,7003201
2020/9/25,7050827
2020/9/26,7094717
2020/9/27,7128424
2020/9/28,7164995
2020/9/29,7207285
2020/9/30,7246201
2020/10/1,7292563
2020/10/2,7346110
2020/10/3,7395490
2020/10/4,7428860
2020/10/5,7466807
2020/10/6,7511828
2020/10/7,7561295
2020/10/8,7619508
2020/10/9,7674839
2020/10/10,7730093
2020/10/11,7776973
2020/10/12,7819928
2020/10/13,7870524
2020/10/14,7929695
2020/10/15,7993557
2020/10/16,8063867
2020/10/17,8118717
2020/10/18,8171011
2020/10/19,8239748
2020/10/20,8302319
2020/10/21,8363744
2020/10/22,8443960
2020/10/23,8526092
2020/10/24,8604191
2020/10/25,8664568
2020/10/26,8729038
2020/10/27,8808015
2020/10/28,8896403
2020/10/29,8989082
2020/10/30,9089581
2020/10/31,9176353
2020/11/1,9254491
2020/11/2,9338429
2020/11/3,9465331
2020/11/4,9567400
2020/11/5,9697432
2020/11/6,9826559
2020/11/7,9953781
2020/11/8,10073149
2020/11/9,10192674
2020/11/10,10331958
2020/11/11,10481517
2020/11/12,10641054
2020/11/13,10819815
2020/11/14,10982695
2020/11/15,11121209
2020/11/16,11276946
2020/11/17,11444298
2020/11/18,11617714
2020/11/19,11809681
2020/11/20,12010766
2020/11/21,12188370
2020/11/22,12333605
2020/11/23,12517891
2020/11/24,12692859
2020/11/25,12874110
2020/11/26,12987021
2020/11/27,13202223
2020/11/28,13369712
2020/11/29,13509385
2020/11/30,13667916
2020/12/1,13866747
2020/12/2,14063763
2020/12/3,14283186
2020/12/4,14518320
2020/12/5,14738243
2020/12/6,14916374
2020/12/7,15112615
2020/12/8,15340114
2020/12/9,15555849
2020/12/10,15791626
2020/12/11,16028528
2020/12/12,16251284
2020/12/13,16441926
2020/12/14,16652287
2020/12/15,16879508
2020/12/16,17113651
2020/12/17,17352825
2020/12/18,17599265
2020/12/19,17804290
2020/12/20,17990459
2020/12/21,18187884
2020/12/22,18393674
2020/12/23,18614461
2020/12/24,18826056
2020/12/25,18951580
